,Year,Station Name,State,rain_sum
383,1995,MONTE ALEGRE ,PA,1485.9999999999998
384,1995,NOVA XAV  XAVANTINA  ,MT,146.7
385,1995,OBIDOS ,PA,1907.4
386,1995,PADRE RICARDO REMETTER ,MT,679.2
387,1995,PALMAS ,TO,1037.3999999999996
388,1995,PARINTINS ,AM,2268.7999999999997
389,1995,PEDRO AFONSO ,TO,1887.7999999999997
390,1995,PEIXE ,TO,1693.6999999999998
391,1995,PORTO DE MOZ ,PA,2728.999999999998
392,1995,PORTO NACIONAL ,TO,1602.4
393,1995,POXOREO ,MT,1353.5000000000002
394,1995,RIO BRANCO ,AC,1687.7999999999986
395,1995,RONDONOPOLIS ,MT,1455.3
396,1995,S G DA CACHOEIRA UAUPES  ,AM,2874.2999999999993
397,1995,SAO FELIX DO XINGU ,PA,2158.1999999999994
398,1995,SAO JOSE DO RIO CLARO ,MT,1112.7
399,1995,SAO LUIS ,MA,2470.099999999998
400,1995,SOURE ,PA,3919.4000000000015
401,1995,TAGUATINGA ,TO,1639.3999999999992
402,1995,TARAUACA ,AC,2023.0000000000007
403,1995,TEFE ,AM,1373.1000000000008
404,1995,TRACUATEUA ,PA,2722.5
405,1995,TUCURUI ,PA,1970.6999999999998
406,1995,TURIACU ,MA,2205.7000000000003
407,1995,ZE DOCA ,MA,1735.1000000000006
408,1996,ALTAMIRA ,PA,2272.1
409,1996,ALTO PARNAIBA ,MA,1182.3000000000002
410,1996,ARAGUAINA ,TO,1724.1
411,1996,BACABAL ,MA,1951.4
412,1996,BALSAS ,MA,1290.0000000000007
413,1996,BARCELOS ,AM,2682.0999999999985
414,1996,BARRA DO CORDA ,MA,1423.3999999999996
415,1996,BELEM ,PA,3464.6
416,1996,BELTERRA ,PA,1879.6000000000008
417,1996,BENJAMIN CONSTANT ,AM,2603.7000000000003
418,1996,BOA VISTA ,RR,1957.900000000001
419,1996,BREVES ,PA,1667.7000000000005
420,1996,CAMETA ,PA,3068.4999999999995
421,1996,CARACARAI ,RR,2422.800000000001
422,1996,CAROLINA ,MA,1844.7
423,1996,CAXIAS ,MA,1565.7999999999995
424,1996,CHAPADINHA ,MA,1809.4999999999993
425,1996,COARI ,AM,2218.6
426,1996,CODAJAS ,AM,3375.999999999998
427,1996,COLINAS ,MA,1625.5000000000005
428,1996,CONCEICAO DO ARAGUAIA ,PA,1320.700000000001
429,1996,CRUZEIRO DO SUL ,AC,2069.7000000000003
430,1996,EIRUNEPE ,AM,2686.2
431,1996,FONTE BOA ,AM,2235.799999999999
432,1996,IAUARETE ,AM,2781.6999999999994
433,1996,IMPERATRIZ ,MA,2250.1000000000004
434,1996,ITACOATIARA ,AM,2728.599999999999
435,1996,ITAITUBA ,PA,1885.4
436,1996,LABREA ,AM,2437.4000000000005
437,1996,MACAPA ,AP,2589.7
438,1996,MANAUS ,AM,2595.199999999999
439,1996,MANICORE ,AM,2519.9000000000033
440,1996,MARABA ,PA,1838.2000000000003
441,1996,MONTE ALEGRE ,PA,1591.9000000000003
442,1996,OBIDOS ,PA,1833.0000000000005
443,1996,PALMAS ,TO,1684.3999999999996
444,1996,PARINTINS ,AM,2496.599999999997
445,1996,PEDRO AFONSO ,TO,1416.1
446,1996,PEIXE ,TO,1639.5000000000018
447,1996,PORTO DE MOZ ,PA,2456.0999999999995
448,1996,PORTO NACIONAL ,TO,932.2000000000004
449,1996,RIO BRANCO ,AC,1902.5000000000002
450,1996,S G DA CACHOEIRA UAUPES  ,AM,3253.500000000003
451,1996,SAO FELIX DO XINGU ,PA,2050.5000000000005
452,1996,SAO LUIS ,MA,2419.199999999998
453,1996,SOURE ,PA,3426.8
454,1996,TAGUATINGA ,TO,1167.3
455,1996,TARAUACA ,AC,2168.4
456,1996,TEFE ,AM,2291.899999999999
457,1996,TRACUATEUA ,PA,2320.999999999998
458,1996,TUCURUI ,PA,1943.6000000000001
459,1996,TURIACU ,MA,2325.799999999999
460,1996,ZE DOCA ,MA,1937.8999999999996
461,1997,ALTAMIRA ,PA,2166.2
462,1997,ALTO PARNAIBA ,MA,1267.7
463,1997,ARAGUAINA ,TO,1901.2999999999995
464,1997,BACABAL ,MA,1587.4000000000003
465,1997,BALSAS ,MA,888.7999999999998
466,1997,BARCELOS ,AM,2313.6000000000004
467,1997,BARRA DO CORDA ,MA,1026.9000000000005
468,1997,BELEM ,PA,2664.8999999999987
469,1997,BELTERRA ,PA,1390.7000000000003
470,1997,BENJAMIN CONSTANT ,AM,2523.5000000000027
471,1997,BOA VISTA ,RR,1158.7999999999997
472,1997,BREVES ,PA,1507.799999999999
473,1997,CAMETA ,PA,2305.2
474,1997,CANARANA ,MT,194.6
475,1997,CARACARAI ,RR,1432.3000000000006
476,1997,CAROLINA ,MA,2032.3000000000002
477,1997,CAXIAS ,MA,1046.3
478,1997,CHAPADINHA ,MA,1519.3999999999996
479,1997,COARI ,AM,2316.299999999999
480,1997,CODAJAS ,AM,3131.499999999998
481,1997,COLINAS ,MA,1261.7
482,1997,CONCEICAO DO ARAGUAIA ,PA,1908.299999999999
483,1997,CRUZEIRO DO SUL ,AC,1639.4000000000003
484,1997,EIRUNEPE ,AM,2541.0000000000005
485,1997,FONTE BOA ,AM,2676.000000000001
486,1997,IAUARETE ,AM,2695.3999999999996
487,1997,IMPERATRIZ ,MA,1190.9000000000003
488,1997,ITACOATIARA ,AM,1952.5000000000007
489,1997,ITAITUBA ,PA,1877.2000000000003
490,1997,LABREA ,AM,2485.8999999999987
491,1997,MACAPA ,AP,2461.6999999999994
492,1997,MANAUS ,AM,2329.2
493,1997,MANICORE ,AM,1952.0000000000039
494,1997,MARABA ,PA,1419.1999999999998
495,1997,MONTE ALEGRE ,PA,1335.7000000000005
496,1997,OBIDOS ,PA,1451.6999999999998
497,1997,PALMAS ,TO,2107.2000000000003
498,1997,PARINTINS ,AM,1932.0000000000005
499,1997,PEDRO AFONSO ,TO,1747.5999999999995
